ID,Typology,Short,Definition,Occupancy (axis A),Sector (axis B),Scale (axis C),Nature (axis D),Grade (axis E),Signature spaces,What it drives in the deck,Audience,Watch out for,Default deck,Max available
T01,IT / Technology Services Office,IT,"A product or services technology company occupying space for its own staff — engineering, product, support and the business functions around them.",Enterprise HQ,IT & Technology Services,Mid-market (300-800 seats),Greenfield fit-out,Standard corporate,Dense open workhall; high meeting-room-to-seat ratio; phone booths at scale; war rooms; large cafeteria doubling as town hall,"Hybrid AV in every room, and a defensible desk-sharing ratio. Attendance data is the argument, not an aside.",Workplace/Facilities lead + IT + Finance,"Engineering-heavy audiences distrust mood boards without plans; lead with capacity and adjacency, not materials.",53,99
T02,GCC / Global Capability Centre,GCC,A captive offshore centre delivering work for a foreign parent. The occupier is a subsidiary; the standards usually are not theirs to set.,Captive GCC,IT & Technology Services,Enterprise (800-2000 seats),Greenfield fit-out,Standard corporate,Shift-based workhall; follow-the-sun collaboration rooms aligned to parent time zones; town hall; large cafeteria; transport lobby,"Conformance to the parent's global workplace standard is the spine of the deck. Every deviation must be shown and justified, and the deck will be reviewed by people who are not in the country.",India site lead + global workplace standards team + parent RE,"The deck is read asynchronously overseas, so it must stand alone without a presenter — notes and annotations matter more than usual.",59,99
T03,Startup / High-growth Office,Startup,An early or fast-scaling company where headcount at handover is a guess and the workplace is part of the hiring pitch.,Enterprise HQ,IT & Technology Services,Scale-up (50-300 seats),Greenfield fit-out,Value / functional,Flexible open plan; almost no cabins; one all-hands space; café-as-workspace; a founder-visible war room,Growth headroom and cost per seat. The plan must visibly survive a 40% headcount swing in either direction.,"Founder / COO, deciding fast and often alone","Short attention, fast decisions. A 50-slide deck loses this client; compress process slides into one.",28,81
T04,Managed Workspace - Operator Centre,Managed Workspace,A coworking or managed-workspace operator fitting out a centre they will sub-let. The people in the space are not the client's staff.,Operator coworking,Real Estate & Workspace Operator,Mid-market (300-800 seats),Greenfield fit-out,Standard corporate,Sellable private cabins at several sizes; hot-desk lounge; community / event space; premium meeting suites let by the hour; phone booths,"Sellable seats per sq ft and revenue mix are the argument. Design is evaluated as a yield instrument, not as taste.",Operator's design head + expansion/revenue lead,Brand must stay neutral enough to host any tenant. Resist client-specific storytelling that a future tenant cannot inherit.,50,99
T05,Managed Office / Build-to-Suit,Managed Office,"An operator builds and runs the space, but a single named client occupies all of it and expects it to feel like theirs.",Managed / BTS single tenant,Real Estate & Workspace Operator,Mid-market (300-800 seats),Greenfield fit-out,Standard corporate,Client-branded reception; standard workhall; operator back-of-house; housekeeping and pantry ops zones,"Two audiences at once: the operator (who must run it) and the tenant (who must love it). Operations, SLA and BOH earn real slide time here and almost nowhere else.",Operator delivery team + the end client's workplace lead,Ownership of change requests after handover is the most common dispute — cover it explicitly.,52,99
T06,BFSI Office,BFSI,"Banking, financial services or insurance — regulated, audited, and usually client-facing on at least one floor.",Enterprise HQ,BFSI,Enterprise (800-2000 seats),Greenfield fit-out,Premium,Dealing / trading floor; client meeting suite segregated from staff areas; secure records; compliance-restricted zones; formal boardroom,"Security zoning and regulatory segregation are design drivers, not an annexe. Access hierarchy gets its own slide.",Facilities + Compliance + Security + Brand,Compliance sign-off can veto a plan late. Show the restricted-zone logic before the pretty renders.,59,100
T07,Consulting & Professional Services,Consulting,"Consulting, audit, accountancy or advisory — high-salary staff who are mostly at a client site, and a client suite that must impress.",Enterprise HQ,Consulting & Professional Services,Mid-market (300-800 seats),Greenfield fit-out,Premium,Hotelling desks with booking; client-facing meeting suite; partner cabins; quiet rooms; project/war rooms,"Low real attendance against high headcount. Desk-sharing ratio is the commercial argument, and the client suite is the brand argument.",Partner group + Operations,Partners will negotiate cabin entitlement individually. Make the hierarchy rule explicit and visual early.,55,98
T08,Legal / Chambers,Legal,"Law firms and chambers — cellular by nature, confidentiality-bound, and materially conservative.",Enterprise HQ,Legal,Scale-up (50-300 seats),Greenfield fit-out,Premium,Cellular offices; library / archive; secure file storage; formal reception and client waiting; deposition / conference rooms,"Acoustic privacy is a legal requirement, not a comfort preference. Open-plan proposals need a defence.",Managing partner + office manager,Do not lead with open-plan or ABW. Show the acoustic strategy before proposing any shared setting.,50,97
T09,E-commerce & Logistics Corporate,E-commerce,"The corporate office of an e-commerce, quick-commerce or logistics business — operations-led, often running around the clock.",Enterprise HQ,E-commerce & Logistics,Enterprise (800-2000 seats),Greenfield fit-out,Standard corporate,Control tower / ops floor with screen wall; large war rooms; 24x7 zones with their own pantry and rest area; high-turnover cafeteria,Peak-season surge capacity and genuine 24x7 operation. The plan has to work at 3am on the busiest night of the year.,Operations head + Workplace + HR,"Shift overlap doubles occupancy at handover times — size circulation and amenities for the overlap, not the average.",57,99
T10,Healthcare / Pharma / Life Sciences,Healthcare,"Corporate and R&D-adjacent offices for healthcare, pharma or life sciences organisations, under regulated conditions.",Enterprise HQ,Healthcare / Pharma / Life Sciences,Mid-market (300-800 seats),Greenfield fit-out,Standard corporate,Controlled-access document and sample storage; clean-adjacent corridors; wellness rooms; training auditorium; visitor segregation,Regulated adjacency and material hygiene. Finishes are selected for cleanability and certification before appearance.,Facilities + Quality/Regulatory + EHS,Quality/Regulatory can reject a specified finish outright. Get the material schedule in front of them early.,52,99
T11,R&D / Engineering Centre,R&D,"An engineering, semiconductor or hardware R&D centre where labs and office space share a floor plate and an IP boundary.",Enterprise HQ,R&D / Engineering / Hardware,Mid-market (300-800 seats),Greenfield fit-out,Standard corporate,Lab / office interface zone; prototype and test areas; secure IP zones; heavy-services rooms; equipment staging and goods route,"The lab boundary governs everything: services load, vibration, access control and the goods route all precede aesthetics.",Engineering leadership + EHS + IT security,Services capacity is usually the binding constraint. Confirm it before committing to any lab adjacency.,54,99
T12,Manufacturing / Plant-attached Corporate,Manufacturing,"A corporate office attached to or serving a plant — office staff and plant staff share entrances, canteens and a safety culture.",Enterprise HQ,Manufacturing & Industrial,Mid-market (300-800 seats),Refurbishment / retrofit,Value / functional,Office-to-plant transition and PPE zone; visitor safety induction room; shared canteen; training rooms; durable circulation,The office/plant interface and the safety induction sequence. Durability beats delicacy in every material call.,Plant head + EHS + HR,"Plant staff and office staff have different expectations of the same canteen. Show both journeys, not an averaged one.",49,97
T13,Media / Creative / D2C Studio,Media,"Agencies, production houses, and direct-to-consumer brands where the office is itself a brand artefact and often a shoot location.",Enterprise HQ,Media / Creative / D2C,Scale-up (50-300 seats),Refurbishment / retrofit,Standard corporate,Shoot / content studio; edit suites with acoustic treatment; product and sample display; informal-first collaboration; a photographable hero moment,The office doubles as a set and a showroom. Lighting quality and photogenic moments are functional requirements here.,Founder / Creative director / Brand lead,This audience out-designs most decks in their own field. Show restraint and craft; generic corporate renders read as lazy.,49,100
T14,Education / EdTech Campus Office,Education,"Offices for education providers and EdTech companies, usually with teaching, recording or assembly space on the same floor.",Enterprise HQ,Education & EdTech,Scale-up (50-300 seats),Greenfield fit-out,Value / functional,Classroom / lab hybrid rooms; recording studios; large assembly space; counselling and admissions rooms; student waiting,Peak assembly load and acoustic separation between teaching and recording. Durability under heavy young footfall.,Academic head + Operations + Admissions,"Timetable peaks, not headcount, size the circulation and the washrooms. Ask for the timetable.",45,97
