Slide ID,Slide,Section,Baseline,IT,GCC,Startup,Managed Workspace,Managed Office,BFSI,Consulting,Legal,E-commerce,Healthcare,R&D,Manufacturing,Media,Education,Government,Experience Centre,Universal?
S001,Cover / Title,Cover & Credentials,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Yes - common to all
S002,Agenda / Contents,Cover & Credentials,R,R,M,O,R,R,R,R,R,R,R,R,R,O,R,R,O,Varies by level
S003,About Us,Cover & Credentials,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Yes - common to all
S004,Credentials by Numbers,Cover & Credentials,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Varies by level
S005,Client Logo Wall,Cover & Credentials,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,Typology-specific
S006,Our Team,Cover & Credentials,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,Typology-specific
S007,Why Us / Differentiators,Cover & Credentials,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Varies by level
S008,Selected Work / Case Study,Cover & Credentials,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Varies by level
S010,Section Divider - Understanding,Understanding the Brief,R,R,R,O,R,R,R,R,R,R,R,R,R,R,R,R,O,Varies by level
S011,Brief Recap / Mandate,Understanding the Brief,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Yes - common to all
S012,Project Snapshot,Understanding the Brief,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,Yes - common to all
S013,Brand Landscape,Understanding the Brief,R,R,R,O,O,R,R,R,R,R,R,R,O,M,O,O,R,Varies by level
S014,Workplace Aspirations,Understanding the Brief,R,R,R,R,O,R,R,R,R,R,R,R,R,R,R,R,R,Varies by level
S015,User Profiles / Personas,Understanding the Brief,R,R,R,R,O,R,R,R,R,R,R,R,R,R,R,R,R,Varies by level
S016,Work Styles Mix,Understanding the Brief,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Varies by level
S017,Headcount & Growth,Understanding the Brief,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,O,Varies by level
S018,Attendance & Utilisation,Understanding the Brief,O,M,M,O,O,O,O,M,X,R,O,O,O,O,O,O,X,Typology-specific
