Slide ID,Section,Section name,Slide,Purpose,Suggested title,What goes on it,Presenta layout,Slide style,Required inputs / assets,Optional inputs,Baseline,Order,Notes
S001,00,Cover & Credentials,Cover / Title,"Establish whose deck this is, for whom, and when — the slide that stays on screen while people settle in.",{client_name},"Client name, project descriptor, both logos, date, a hero image or looping render of the space.",title-slide,section-starter,Client name; project name; date; client logo,Hero image or hero video; accent colour pulled from the logo,M,1,Accent colour should already be derived from the client logo at project creation.
S002,00,Cover & Credentials,Agenda / Contents,"Tell the room how long this will take and when their part comes up, so nobody interrupts early.",What we will cover,"5-7 numbered sections matching the deck's own section dividers, with an approximate timing.",title-content,standard,Final section list,Timings; named presenter per section,R,2,Generate from the sections actually present after rules run — never hardcode.
S003,00,Cover & Credentials,About Us,Establish that the firm can carry a project of this size before any design opinion is offered.,About {brand_name},"Positioning line, what we do end-to-end, scale markers, delivery footprint.",title-content,company,Brand (OB / SKV / both),Founding year; office locations; team size,M,3,Auto-populate from the brand profile — this is the brand-driven auto-population ask.
S004,00,Cover & Credentials,Credentials by Numbers,Convert the claim in the previous slide into figures that can be checked.,By the numbers,"3-4 stats: sq ft delivered, projects completed, cities, average handover variance.",title-stats,company,Credential figures for the brand,Figures filtered to this typology,O,4,Filter to the project's own typology where the data supports it — a GCC client wants GCC numbers.
S005,00,Cover & Credentials,Client Logo Wall,"Borrow credibility from recognisable names, especially ones in the same typology.",Who we build for,"A grid of 12-24 client logos, ideally sorted so same-typology clients lead.",title-content,company,Client logo files,Per-logo typology tag for filtering,O,5,GAP: no logo-wall layout. A grid layout is needed; freeform works but every logo must be placed by hand.
S006,00,Cover & Credentials,Our Team,Put names and faces to the people the client will actually deal with.,Your team,"4-8 people: photo, name, role, one line of relevant experience.",title-content,standard,Team photos; names; roles,Per-person relevant project credits,O,6,GAP: no team-grid layout. freeform can do it but is manual.
S007,00,Cover & Credentials,Why Us / Differentiators,Answer the unspoken comparison against the two other firms pitching this week.,Why {brand_name},"3-5 differentiators, each one line, converging on a single outcome statement.",merge-diagram,standard,Differentiator list,Proof point per differentiator,O,7,Differentiators should be typology-specific — 'we do GCCs' beats 'we are detail-oriented'.
S008,00,Cover & Credentials,Selected Work / Case Study,"Show one comparable project in enough depth to be believed, rather than ten in a blur.",{case_study_name},"One project: brief, what was solved, 2-3 images, outcome figure.",concept,design,Case study images; project facts,Client quote; before/after pair,R,8,"Pick by typology match first, then by scale. Same-typology beats same-city."
S010,01,Understanding the Brief,Section Divider - Understanding,Mark the shift from credentials to the client's own project.,Understanding the brief,"Numeral, section title, one-line framing question.",title-slide,section-starter,Section number,,R,9,Reuses pillarSectionSlide() in src/lib/conceptSlides.ts.
S011,01,Understanding the Brief,Brief Recap / Mandate,Repeat the brief back in the client's own words — the cheapest way to prove you listened and to surface a misunderstanding while it is still free.,The brief,"What was asked for, the constraints given, the success criteria, in the client's phrasing.",title-content,standard,Brief document or meeting notes,Direct quotes from the briefing,M,10,Quote the client verbatim where possible. Paraphrase reads as interpretation.
S012,01,Understanding the Brief,Project Snapshot,"Put every number the whole room must agree on in one place, early.",Project at a glance,"Area, headcount, floors, location, target handover, budget band.",title-stats,standard,Area; headcount; location; timeline,Budget band; number of floors,M,11,"If any figure here is wrong, everything downstream is wrong. Present it for confirmation."
S013,01,Understanding the Brief,Brand Landscape,Extract the client's visual and cultural vocabulary so later design moves can be traced back to it rather than to taste.,Understanding {client_name},"Brand palette, logo usage, tone, product/service imagery, existing spatial cues.",freeform,standard,Client brand guidelines; brand imagery,Existing office photos; product imagery,R,12,The E-Com Express reference slide is exactly this pattern — see ECOM_SLIDE_2_ELEMENTS.
S014,01,Understanding the Brief,Workplace Aspirations,"Name what the client wants the workplace to do for them, in their words, before proposing how.",What do you aspire for at your workplace?,"6-8 aspiration statements as cards or icons, drawn from the briefing or a staff survey.",freeform,standard,Aspiration statements,Staff survey results; leadership interview quotes,R,13,Pattern exists as ECOM_SLIDE_1_ELEMENTS. Survey-backed statements carry far more weight than assumed ones.
S015,01,Understanding the Brief,User Profiles / Personas,"Make the abstract headcount into specific people with different needs, so the space mix has a defence.",Who we are designing for,"4-6 personas orbiting a core: photo, role, work pattern, what they need from the space.",orbit,standard,Department and role breakdown,Persona photos; per-persona day-in-the-life,R,14,The orbit layout was built for exactly this.
S016,01,Understanding the Brief,Work Styles Mix,Show that one desk type cannot serve the whole organisation — the argument every varied setting later depends on.,How work actually happens here,"The split across focused / collaborative / social / hybrid / mobile / meeting-heavy, with percentages.",concept,standard,Work-style split (survey or assumed),Per-department breakdown,O,15,"State plainly whether the split is measured or assumed — clients notice, and assumed splits get challenged."
S017,01,Understanding the Brief,Headcount & Growth,"Fix the number the plan is sized against, and the growth it must absorb without a rebuild.",Headcount and growth,"Current headcount, day-one, year-3 and year-5 projections, per department.",title-stats,standard,Current and projected headcount,Department-wise split; attrition assumptions,M,16,"Growth assumptions belong on the slide, not in the appendix. They are the whole basis of the area."
S018,01,Understanding the Brief,Attendance & Utilisation,Justify any desk-sharing ratio with observed data instead of an assertion.,"How full is the office, really?","Attendance by day of week, peak vs average occupancy, historic utilisation, the ratio it supports.",title-stats,standard,Attendance or badge data,Utilisation study; booking-system data,O,17,Without real data do not propose a sharing ratio. An unbacked ratio is the fastest way to lose the room.
S019,01,Understanding the Brief,Employee Journey,Walk the client through a day in the space so gaps are noticed before they are built.,A day in the workplace,"Arrival, orientation, work, meetings, breaks, social, departure — as a sequence.",merge-diagram,standard,Journey stages,Per-stage pain points from the current office,O,18,Strongest when contrasted against the pain points of the current office.
S020,01,Understanding the Brief,Benchmarks & References,Calibrate expectations against comparable workplaces before proposing anything.,Benchmarks,"3-4 comparable projects with the metric that matters — density, ratio, cost or area per person.",concept,standard,Benchmark projects and figures,Images of each benchmark,O,19,Benchmarks must match typology and city to be credible.
S021,01,Understanding the Brief,Design Brief Summary,Close the understanding section with the agreed brief — the thing the rest of the deck answers.,What we are solving for,Left: the constraints and givens. Right: the objectives design must deliver.,two-content,standard,Agreed objectives; constraints,Priority ranking across objectives,O,20,Get explicit agreement here. Every later disagreement traces back to a skipped sign-off on this slide.
S030,02,Site & Context,Section Divider - Site,Mark the shift from brief to the physical building.,Site and context,"Numeral, section title, framing question.",title-slide,section-starter,Section number,,O,21,
S031,02,Site & Context,Site Locus / Location,"Place the office in its city and building, and surface what the location gives and costs.",Where it sits,"Locus map, a reveal photo of the building/floor, address, compass and sun path.",site-locus,standard,Locus map; building photo; address,Sun-path diagram; neighbourhood amenities,R,22,The site-locus layout already has the hover-reveal and compass built in.
S032,02,Site & Context,Building & Floor Plate,"Show the plate everyone will be reasoning about: core position, column grid, depth, glazing.",The floor plate,"Annotated plate with core, columns, structural grid, glazing lines and floor-to-ceiling height.",concept,standard,Floor plan from the landlord or survey,Column grid dimensions; slab-to-slab height,R,23,Set `visual: 'image'` so the plan fills the right half rather than the generated diagram.
S033,02,Site & Context,Existing Condition Survey,"Record what is there now — the baseline for a refurbishment, and the evidence for what must go.",Existing conditions,"Survey photos on a key plan, each hotspot opening the photos for that area.",linked-views,standard,Site survey photos; key plan,Dilapidation notes; services condition report,O,24,"Use hotspots with galleries so each area's photos open in place. Mandatory for refurbishment, meaningless for greenfield."
S034,02,Site & Context,Constraints & Opportunities,"State honestly what the building will not allow, next to what it uniquely offers — credibility comes from naming both.",Constraints and opportunities,"Left: constraints (core position, low ceiling, single access, services). Right: opportunities (aspect, terrace, height, daylight).",two-content,standard,Site observations,Landlord fit-out guide; base-build drawings,R,25,Naming constraints early makes the later plan read as resolution rather than compromise.
S035,02,Site & Context,Daylight & Orientation,"Justify where the open plan and the enclosed rooms go, using the sun rather than preference.",Daylight and orientation,"Sun path across the plate, glare risk zones, the daylight-driven planning rule that follows.",site-locus,standard,Floor plan; building orientation,Daylight simulation; glare study,O,26,"The planning rule is the point: perimeter for people, core for rooms — or the reasoned exception."
S036,02,Site & Context,Base Build & Services Review,Confirm what the base build provides so later MEP scope is not a surprise.,Base build and services,"HVAC provision, power availability, fire systems, lift and washroom cores, what the fit-out must add.",title-content,standard,Base-build services drawings,Landlord fit-out guide; capacity figures,O,27,"Insufficient base-build capacity is the most common late cost shock — flag any shortfall here, in writing."
S040,03,Strategy & Concept,Section Divider - Approach,Mark the shift from analysis to proposal.,Our approach,"Numeral, section title, framing question.",title-slide,section-starter,Section number,,R,28,
S041,03,Strategy & Concept,Design Approach / Process,"Show that the design follows a repeatable method, not inspiration — this is what de-risks the commission.",A practical design sequence,"The six steps — Understand, Analyse, Strategise, Design, Test, Resolve — converging on a resolved workplace.",merge-diagram,standard,,Client-side milestones mapped onto each step,R,29,designSequenceSlide() in src/lib/conceptSlides.ts already builds this from DESIGN_SEQUENCE.
S042,03,Strategy & Concept,Design Concept - The Big Idea,"State the single governing idea in one sentence, full-bleed, so the rest of the deck can be judged against it.",{concept_statement},"One sentence. No supporting points, no image competing with it.",title-only,section-starter,The concept statement,A background image at low opacity,M,30,If it needs two sentences it is not yet a concept. Rewrite until it fits in one.
