ID,Concept,In one line,Palette,Materials,Lighting,Imagery direction,Copy tone,Slides it adds or escalates,Watch out for
C01,Biophilic,"Bring measurable nature into daily contact, not decoration.","Forest and olive greens, clay, oat, raw timber, off-white","Live planting, timber veneer, cork, natural stone, jute, rattan","Daylight-first, circadian tuning, dappled feature lighting","Planted interiors, daylight studies, green walls, courtyards, texture close-ups","Calm, evidence-led; cite wellbeing and productivity research","Planting plan, daylight study, maintenance and irrigation plan",Planting without an irrigation and maintenance contract dies in 6 months — say who waters it.
C02,Contemporary / Minimal,Reduce to essentials; let proportion and light do the work.,"White, warm grey, black accents, single restrained accent hue","Micro-cement, matt laminate, glass, powder-coated steel, terrazzo","Linear recessed, concealed cove, minimal fittings","Clean wide shots, strong geometry, negative space, few props","Spare and confident; short lines, no adjective stacking","Detail junctions, ceiling-and-services coordination","Minimal shows every tolerance. Detail and site quality must be budgeted, or it reads cheap."
C03,Collaborative (ABW),Give people a setting per task instead of one desk for everything.,Zone-coded accents over a neutral base,"Acoustic felt, writable surfaces, soft seating, mobile screens","Task-layered, brighter at collaboration nodes","People in varied postures and settings, activity over architecture",Behavioural and practical; name the task each setting serves,"Settings menu, protocol/etiquette, change management, booking tech",ABW fails without an adoption programme. Budget the change management or it reverts to assigned desks in a quarter.
C04,Industrial / Raw,Leave the building's structure and services legible.,"Concrete grey, black steel, rust, natural ply","Exposed soffit and services, mild steel, reclaimed timber, brick","Suspended track and industrial fittings, visible conduit","Exposed ceilings, structure close-ups, high-contrast shots",Direct and honest; talk about what is revealed rather than added,"Exposed-services coordination, acoustic compensation strategy",Exposed soffits wreck acoustics and raise HVAC load. Show the acoustic compensation in the same breath.
C05,Heritage & Local Context,"Root the workplace in its region's craft, material and story.","Regional earth tones, indigo, brass, terracotta","Local stone, handmade tile, regional craft inlay, brass, khadi textile","Warm, layered, feature lighting on craft elements","Craft detail macros, artisan process, regional architecture references","Narrative; name the craft, the region and the maker","Craft sourcing and artisan partners, storytelling wall, art commissioning plan","Craft procurement has long, unreliable lead times. Put it on the programme slide, not in a footnote."
C06,Brand-Immersive / Playful,"Make the workplace unmistakably, legibly this company.","The brand palette, used at architectural scale","Colour-blocked surfaces, custom graphics, signage-as-architecture, feature joinery",Accent and colour-wash on brand moments,"Bold graphic interiors, branded thresholds, feature walls",Energetic and brand-voiced; borrow the client's own language,"Brand landscape, graphics and wayfinding family, feature-moment map","Brand refreshes outpace fit-outs. Keep the boldest colour on replaceable surfaces, not on tile and stone."
C07,Wellness-First,"Design around comfort, recovery and human health outcomes.","Soft neutrals, muted blue-green, pale timber","Low-VOC finishes, acoustic ceilings, ergonomic furniture, tactile textiles","Circadian tuning, glare control, individual user control","Quiet rooms, wellness spaces, ergonomic detail, natural light",Care-led and specific; prefer measurable claims to vague comfort,"Wellness amenity set, acoustic comfort strategy, air-quality approach, ergonomics standard",Wellness claims invite measurement. Only claim what you will actually commission and test.
C08,Sustainable / Certified Green,Design to a certifiable environmental standard and prove it.,"Natural, low-processed, honest finishes","Recycled and rapidly-renewable content, FSC timber, low-VOC, reused elements","High-efficiency fittings, daylight harvesting, occupancy control","Material provenance, reuse before/after, certification scorecards","Evidence-led; cite the standard, the credit and the number","Certification pathway and scorecard, material provenance, reuse inventory, energy and water strategy",Certification targets change the programme and the budget. Commit to a rating level early or not at all.
C09,Tech-Forward / Smart,"Let the building sense, respond and report.","Cool neutrals, deep charcoal, luminous accents","Integrated screens, seamless surfaces, concealed services, glass","Scene-controlled, sensor-driven, integrated with booking","Interfaces in situ, sensors, dashboards, AV-integrated rooms",Systems-led; name the platform and the integration,"Smart-workplace stack, sensor and data plan, AV standard by room type, booking integration",Occupancy sensing is a privacy conversation. Get HR and Legal in the room before it is specified.
C10,Warm Minimal (Japandi),"Minimal discipline, warmed by timber, texture and softness.","Oat, warm white, pale timber, soft charcoal, muted sage","Pale oak, linen, paper-effect surfaces, matt ceramic, rattan","Warm, low-glare, generous indirect light","Soft daylight, quiet compositions, texture and grain close-ups",Quiet and considered; restraint in the writing as well,"Texture and material close-ups, furniture curation",Pale timber and linen mark and stain fast. Check the maintenance regime honestly before specifying.
C11,Monochrome / Editorial,A gallery-like envelope that puts people and work in the frame.,"Black, white, greyscale, one disciplined accent","Matt black metal, plaster, polished concrete, glass, neutral textile","Gallery-grade track and accent lighting, high contrast","High-contrast architectural photography, strong typography",Editorial and typographic; let layout carry the emphasis,"Art and graphics programme, typography and signage system",High contrast is hard on screen work and on accessibility. Check luminance ratios at desks.
C12,Resimercial / Homely,Use domestic comfort to make an office worth commuting to.,"Warm neutrals, terracotta, muted blue, timber","Upholstered seating, rugs, curtains, domestic-scale lighting, open shelving","Layered lamps and pendants at domestic scale, warm temperature","Lounge settings, soft seating vignettes, people at ease",Warm and human; talk about belonging and choice,"Settings vignettes, soft-furnishing specification and cleaning regime",Domestic fabrics fail commercial abrasion and fire ratings. Specify contract-grade equivalents.
,,,,,,,,,
"GRADE MODIFIERS (axis E) — these compose WITH any concept above, which is why 'Premium' is not in the list of 12.",,,,,,,,,
G1,Value / functional,"Cost per seat, and what was deliberately left out",,"Laminate, vinyl, modular ceilings, standard catalogue furniture",,,,Shortest deck. Merge space-by-space slides into grouped ones; cut detail and mock-up slides.,
G2,Standard corporate,Budget summary against a benchmark,,"Veneer accents, engineered stone at key points, good contract furniture",,,,The baseline the library is written to. No adjustment.,
G3,Premium,"Value and lifecycle, not unit rate",,"Natural stone, real veneer, designer furniture, bespoke joinery",,,,"Adds detail, material-sample and lighting slides; space-by-space slides split rather than merge.",
G4,Luxury flagship,"Craft, provenance and commissioned pieces",,"Marble, bespoke metalwork, commissioned art, bespoke lighting",,,,"Longest deck. Adds art programme, mock-up, bespoke-joinery and provenance slides.",
