Input / asset,Required or optional,Used by # slides,Slides,Supplied by
Section number,Required,8,S010 S030 S040 S060 S080 S110 S130 S150,Design team
AV specification,Optional,5,S085 S086 S090 S097 S098,Design team
Floor plan,Required,3,S035 S062 S064,Design team
a second angle,Optional,3,S081 S083 S086,Design team
key plan,Required,3,S033 S067 S137,Design team
Capacity per configuration,Optional,2,S090 S097,Design team
Key plan,Required,2,S050 S071,Design team
Landlord fit-out guide,Optional,2,S034 S036,Design team
acoustic ratings,Optional,2,S085 S096,Design team
alternates,Optional,2,S113 S153,Design team
dimensions,Optional,2,S083 S084,Design team
3D detail views,Optional,1,S121,Design team
A background image at low opacity,Optional,1,S042,Design team / client
A closing hero image,Optional,1,S162,Design team / client
A label per option,Optional,1,S046,Design team
AV specification by room type,Required,1,S132,Design team
Access control zoning,Required,1,S137,Design team
Accessibility compliance review,Required,1,S136,Design team
Acoustic ratings,Optional,1,S087,Design team
Acoustic treatment schedule,Required,1,S115,Design team
Agreed next steps,Required,1,S161,Design team
Agreed objectives,Required,1,S021,Design team
An example of each applied,Optional,1,S047,Design team
Approval status,Optional,1,S135,Design team
Area,Required,1,S012,Design team
Area programme,Required,1,S061,Design team
Art references or commissions,Required,1,S119,Design team
Artist profiles,Optional,1,S119,Design team
Aspiration statements,Required,1,S014,Design team
Assumption and risk register,Required,1,S160,Design team
Attendance or badge data,Required,1,S018,Client
BOQ,Required,1,S153,Design team
BOQ note,Optional,1,S071,Design team
Base-build services drawings,Required,1,S036,Design team
Benchmark comparison,Optional,1,S151,Design team
Benchmark comparison per line,Optional,1,S061,Design team
Benchmark projects and figures,Required,1,S020,Client
Benchmark range,Optional,1,S152,Design team
Boardroom render,Required,1,S086,Design team / client
Booth render or product image,Required,1,S087,Design team / client
Brand (OB / SKV / both),Required,1,S003,Client
Brand colour reference,Optional,1,S112,Client
Breakout render,Required,1,S088,Design team / client
Brief document or meeting notes,Required,1,S011,Client
Budget band,Optional,1,S012,Client
CCTV layout,Optional,1,S137,Design team
Cabin render,Required,1,S084,Design team / client
Cabin-grade schedule,Optional,1,S084,Design team
Cafeteria render,Required,1,S089,Design team / client
Case study images,Required,1,S008,Design team / client
Ceiling and flooring schedule,Required,1,S120,Design team
Certification target,Optional,1,S138,Design team
Certifications,Optional,1,S157,Design team
Change-management outline,Optional,1,S048,Design team
Chosen workplace model,Required,1,S048,Design team
Client brand guidelines,Required,1,S013,Client
Client logo files,Required,1,S005,Design team / client
Client name,Required,1,S001,Design team
Client quote,Optional,1,S008,Design team
Client-side milestones mapped onto each step,Optional,1,S041,Design team
Code compliance calculation,Optional,1,S092,Design team
Colour palette,Required,1,S112,Design team
Column grid dimensions,Optional,1,S032,Design team
Community space render,Required,1,S097,Design team / client
Concept narrative,Required,1,S043,Design team
Contact details,Required,1,S162,Design team
Content plan,Optional,1,S117,Design team
Control room render,Required,1,S099,Design team / client
Coordinated services drawings,Optional,1,S131,Design team
Cost estimate by package,Required,1,S151,Client
Cost per seat,Required,1,S152,Client
Credential figures for the brand,Required,1,S004,Client
Credit-by-credit scorecard,Optional,1,S139,Design team
Critical path,Optional,1,S155,Design team
Current and projected headcount,Required,1,S017,Client
Daylight simulation,Optional,1,S035,Design team
Dealing floor render,Required,1,S094,Design team / client
Decision dates,Optional,1,S161,Design team
Defects liability period,Optional,1,S159,Design team
Delivery team structure,Required,1,S156,Design team
Department and role breakdown,Required,1,S015,Design team
Department interaction data,Required,1,S063,Client
Department-wise split,Optional,1,S017,Design team
Design keywords,Required,1,S045,Design team
Detail drawings,Required,1,S121,Design team
Diagram of the concept logic,Optional,1,S043,Design team
Differentiator list,Required,1,S007,Design team
Dilapidation notes,Optional,1,S033,Design team
Dimensioned typical layouts,Optional,1,S049,Design team
Direct quotes from the briefing,Optional,1,S011,Client
Egress distances,Optional,1,S064,Design team
Excel import of the capacity sheet,Optional,1,S067,Design team
Existing office photos,Optional,1,S013,Design team / client
Experience zone render,Required,1,S098,Design team / client
Figures filtered to this typology,Optional,1,S004,Client
Final floor plan,Required,1,S065,Design team
Final section list,Required,1,S002,Design team
Fire strategy,Required,1,S135,Design team
