Rule ID,Priority,When (condition),Operation,Slides,Why
R000,0,always,baseline,"see 04 Slide Library, column 'Baseline'",Start from each slide's own default level.
R0094,1,slide = S094,X unless owned,T06=M,Trading / Dealing Floor exists only in these typologies; excluded everywhere else.
R0095,1,slide = S095,X unless owned,T11=M; T10=R,Lab / Workshop Interface exists only in these typologies; excluded everywhere else.
R0096,1,slide = S096,X unless owned,T13=M; T14=R,Studio / Content Space exists only in these typologies; excluded everywhere else.
R0097,1,slide = S097,X unless owned,T04=M; T05=O,Community & Event Space exists only in these typologies; excluded everywhere else.
R0098,1,slide = S098,X unless owned,T16=M; T01=O; T02=O,Experience / Demo Zone exists only in these typologies; excluded everywhere else.
R0099,1,slide = S099,X unless owned,T09=M,Operations Control Tower exists only in these typologies; excluded everywhere else.
R0100,1,slide = S100,X unless owned,T15=M; T06=O,Public Interface Counter exists only in these typologies; excluded everywhere else.
R1-T01-M,2,typology = T01,M,S018 S087 S132,"Desk-sharing has to be argued from attendance data, and every room needs hybrid AV."
R1-T01-R,2,typology = T01,R,S048 S068 S069 S133,"Desk-sharing has to be argued from attendance data, and every room needs hybrid AV."
R1-T02-M,2,typology = T02,M,S002 S018 S049 S090 S132 S133 S137,"The parent's global workplace standard is the spine, and the deck is read asynchronously overseas without a presenter."
R1-T02-R,2,typology = T02,R,S020 S121 S139 S158 S160,"The parent's global workplace standard is the spine, and the deck is read asynchronously overseas without a presenter."
R1-T03-X,2,typology = T03,X,S005 S006 S033 S035 S036 S047 S049 S050 S070 S110 S117 S119 S120 S121 S130 S134 S137 S139,"Decided fast, often by one person. Everything that is not the plan, the money or the growth story is trimmed to optional."
R1-T03-down,2,typology = T03,down,S002 S010 S013 S031 S032 S034 S040 S041 S063 S064 S068 S080 S084 S114 S135 S136 S150 S156,"Decided fast, often by one person. Everything that is not the plan, the money or the growth story is trimmed to optional."
R1-T03-M,2,typology = T03,M,S017 S152,"Decided fast, often by one person. Everything that is not the plan, the money or the growth story is trimmed to optional."
R1-T03-R,2,typology = T03,R,S088,"Decided fast, often by one person. Everything that is not the plan, the money or the growth story is trimmed to optional."
R1-T04-down,2,typology = T04,down,S013 S014 S015,Sellable seats per sq ft is the argument. The brand stays neutral because a future tenant cannot inherit this client's story.
R1-T04-M,2,typology = T04,M,S061 S068 S084 S087 S158,Sellable seats per sq ft is the argument. The brand stays neutral because a future tenant cannot inherit this client's story.
R1-T04-R,2,typology = T04,R,S049 S069 S159,Sellable seats per sq ft is the argument. The brand stays neutral because a future tenant cannot inherit this client's story.
R1-T05-M,2,typology = T05,M,S093 S156 S158 S159,Two audiences at once - the operator who runs it and the tenant who occupies it. Operations earn real slide time.
R1-T05-R,2,typology = T05,R,S013 S049 S157,Two audiences at once - the operator who runs it and the tenant who occupies it. Operations earn real slide time.
R1-T06-M,2,typology = T06,M,S082 S086 S135 S137,"Security zoning and regulatory segregation are design drivers, and compliance can veto the plan late."
R1-T06-R,2,typology = T06,R,S111 S121 S133 S160,"Security zoning and regulatory segregation are design drivers, and compliance can veto the plan late."
R1-T07-M,2,typology = T07,M,S018 S048 S082 S084 S086,"High headcount, low real attendance. The sharing ratio is the commercial argument; the client suite is the brand one."
R1-T07-R,2,typology = T07,R,S068 S111 S121,"High headcount, low real attendance. The sharing ratio is the commercial argument; the client suite is the brand one."
R1-T08-X,2,typology = T08,X,S018,"Cellular by nature and bound by confidentiality. Acoustic privacy is a legal requirement, not a preference."
R1-T08-down,2,typology = T08,down,S044 S063 S068 S088,"Cellular by nature and bound by confidentiality. Acoustic privacy is a legal requirement, not a preference."
R1-T08-M,2,typology = T08,M,S082 S084 S115,"Cellular by nature and bound by confidentiality. Acoustic privacy is a legal requirement, not a preference."
R1-T08-R,2,typology = T08,R,S093 S121,"Cellular by nature and bound by confidentiality. Acoustic privacy is a legal requirement, not a preference."
