Slide ID,Asset slot,Kind,File,Required,Ratio,Min px,Source
S001,brand mark (ob-white.png),brand,brand/ob-white.png,yes,free,native,Officebanao / SKV
S001,brand mark (ob.png),brand,brand/ob.png,yes,free,native,Officebanao / SKV
S001,brand mark (skv.png),brand,brand/skv.png,yes,free,native,Officebanao / SKV
S001,Hero image or hero video,photo-slot,,no,16:9,1600x900,Supplied per project — not shippable
S001,accent colour pulled from the logo,photo-slot,,no,free,400px wide,Supplied per project — not shippable
S001,client logo,photo-slot,,yes,free,400px wide,Supplied per project — not shippable
S001,template thumbnail,thumbnail,thumbnails/s001.svg,no,16:9,800x450,Generated — layout wireframe
S002,template thumbnail,thumbnail,thumbnails/s002.svg,no,16:9,800x450,Generated — layout wireframe
S003,brand mark (ob-white.png),brand,brand/ob-white.png,yes,free,native,Officebanao / SKV
S003,brand mark (ob.png),brand,brand/ob.png,yes,free,native,Officebanao / SKV
S003,brand mark (skv.png),brand,brand/skv.png,yes,free,native,Officebanao / SKV
S003,template thumbnail,thumbnail,thumbnails/s003.svg,no,16:9,800x450,Generated — layout wireframe
S004,template thumbnail,thumbnail,thumbnails/s004.svg,no,16:9,800x450,Generated — layout wireframe
S005,Client logo files,photo-slot,,yes,free,400px wide,Supplied per project — not shippable
S005,Per-logo typology tag for filtering,photo-slot,,no,free,400px wide,Supplied per project — not shippable
S005,template thumbnail,thumbnail,thumbnails/s005.svg,no,16:9,800x450,Generated — layout wireframe
S006,Team photos,photo-slot,,yes,16:9,1920x1080,Supplied per project — not shippable
S006,template thumbnail,thumbnail,thumbnails/s006.svg,no,16:9,800x450,Generated — layout wireframe
S007,template thumbnail,thumbnail,thumbnails/s007.svg,no,16:9,800x450,Generated — layout wireframe
S008,Case study images,photo-slot,,yes,16:9,1600x900,Supplied per project — not shippable
S008,template thumbnail,thumbnail,thumbnails/s008.svg,no,16:9,800x450,Generated — layout wireframe
S010,template thumbnail,thumbnail,thumbnails/s010.svg,no,16:9,800x450,Generated — layout wireframe
S011,template thumbnail,thumbnail,thumbnails/s011.svg,no,16:9,800x450,Generated — layout wireframe
S012,template thumbnail,thumbnail,thumbnails/s012.svg,no,16:9,800x450,Generated — layout wireframe
S013,Existing office photos,photo-slot,,no,16:9,1920x1080,Supplied per project — not shippable
S013,brand imagery,photo-slot,,yes,16:9,1600x900,Supplied per project — not shippable
S013,product imagery,photo-slot,,no,16:9,1600x900,Supplied per project — not shippable
S013,Brand Landscape element,reference-photo,reference/ecom-express/s2-img1.png,no,varies,varies,E-Com Express client deck (already in repo)
S013,Brand Landscape element,reference-photo,reference/ecom-express/s2-img2.jpg,no,varies,varies,E-Com Express client deck (already in repo)
S013,Brand Landscape element,reference-photo,reference/ecom-express/s2-img3.png,no,varies,varies,E-Com Express client deck (already in repo)
S013,Brand Landscape element,reference-photo,reference/ecom-express/s2-img4.png,no,varies,varies,E-Com Express client deck (already in repo)
S013,Brand Landscape element,reference-photo,reference/ecom-express/s2-img5.jpg,no,varies,varies,E-Com Express client deck (already in repo)
S013,Brand Landscape element,reference-photo,reference/ecom-express/s2-img6.png,no,varies,varies,E-Com Express client deck (already in repo)
S013,full reference slide,reference-slide,reference/ecom-express/slide-2.png,no,16:9,1920x1080,E-Com Express client deck
S013,template thumbnail,thumbnail,thumbnails/s013.svg,no,16:9,800x450,Generated — layout wireframe
S014,Workplace Aspirations element,reference-photo,reference/ecom-express/s1-img1.jpg,no,varies,varies,E-Com Express client deck (already in repo)
S014,Workplace Aspirations element,reference-photo,reference/ecom-express/s1-img2.jpg,no,varies,varies,E-Com Express client deck (already in repo)
S014,Workplace Aspirations element,reference-photo,reference/ecom-express/s1-img3.jpg,no,varies,varies,E-Com Express client deck (already in repo)
S014,Workplace Aspirations element,reference-photo,reference/ecom-express/s1-img4.jpg,no,varies,varies,E-Com Express client deck (already in repo)
S014,Workplace Aspirations element,reference-photo,reference/ecom-express/s1-img5.jpg,no,varies,varies,E-Com Express client deck (already in repo)
S014,Workplace Aspirations element,reference-photo,reference/ecom-express/s1-img6.png,no,varies,varies,E-Com Express client deck (already in repo)
S014,full reference slide,reference-slide,reference/ecom-express/slide-1.png,no,16:9,1920x1080,E-Com Express client deck
S014,template thumbnail,thumbnail,thumbnails/s014.svg,no,16:9,800x450,Generated — layout wireframe
S015,Persona photos,photo-slot,,no,16:9,1920x1080,Supplied per project — not shippable
S015,template thumbnail,thumbnail,thumbnails/s015.svg,no,16:9,800x450,Generated — layout wireframe
S016,work styles split,diagram,diagrams/work-styles-split.png,no,16:9,1600x900,Generated — original artwork
S016,template thumbnail,thumbnail,thumbnails/s016.svg,no,16:9,800x450,Generated — layout wireframe
S017,template thumbnail,thumbnail,thumbnails/s017.svg,no,16:9,800x450,Generated — layout wireframe
S018,attendance pattern,diagram,diagrams/attendance-pattern.png,no,16:9,1600x900,Generated — original artwork
S018,template thumbnail,thumbnail,thumbnails/s018.svg,no,16:9,800x450,Generated — layout wireframe
S019,employee journey,diagram,diagrams/employee-journey.png,no,16:9,1600x900,Generated — original artwork
S019,template thumbnail,thumbnail,thumbnails/s019.svg,no,16:9,800x450,Generated — layout wireframe
S020,Images of each benchmark,photo-slot,,no,16:9,1600x900,Supplied per project — not shippable
S020,template thumbnail,thumbnail,thumbnails/s020.svg,no,16:9,800x450,Generated — layout wireframe
S021,template thumbnail,thumbnail,thumbnails/s021.svg,no,16:9,800x450,Generated — layout wireframe
S030,template thumbnail,thumbnail,thumbnails/s030.svg,no,16:9,800x450,Generated — layout wireframe
S031,orientation sun path,diagram,diagrams/orientation-sun-path.png,no,16:9,1600x900,Generated — original artwork
S031,building photo,photo-slot,,yes,16:9,1920x1080,Supplied per project — not shippable
S031,template thumbnail,thumbnail,thumbnails/s031.svg,no,16:9,800x450,Generated — layout wireframe
S032,Floor plan from the landlord or survey,photo-slot,,yes,16:9,2400x1350,Supplied per project — not shippable
S032,template thumbnail,thumbnail,thumbnails/s032.svg,no,16:9,800x450,Generated — layout wireframe
S033,Site survey photos,photo-slot,,yes,16:9,1920x1080,Supplied per project — not shippable
S033,key plan,photo-slot,,yes,16:9,2400x1350,Supplied per project — not shippable
S033,template thumbnail,thumbnail,thumbnails/s033.svg,no,16:9,800x450,Generated — layout wireframe
S034,base-build drawings,photo-slot,,no,16:9,2400x1350,Supplied per project — not shippable
S034,template thumbnail,thumbnail,thumbnails/s034.svg,no,16:9,800x450,Generated — layout wireframe
S035,daylight penetration,diagram,diagrams/daylight-penetration.png,no,16:9,1600x900,Generated — original artwork
S035,orientation sun path,diagram,diagrams/orientation-sun-path.png,no,16:9,1600x900,Generated — original artwork
S035,Floor plan,photo-slot,,yes,16:9,2400x1350,Supplied per project — not shippable
S035,template thumbnail,thumbnail,thumbnails/s035.svg,no,16:9,800x450,Generated — layout wireframe
S036,Base-build services drawings,photo-slot,,yes,16:9,2400x1350,Supplied per project — not shippable
S036,template thumbnail,thumbnail,thumbnails/s036.svg,no,16:9,800x450,Generated — layout wireframe
S040,template thumbnail,thumbnail,thumbnails/s040.svg,no,16:9,800x450,Generated — layout wireframe
S041,design sequence,diagram,diagrams/design-sequence.png,no,16:9,1600x900,Generated — original artwork
S041,template thumbnail,thumbnail,thumbnails/s041.svg,no,16:9,800x450,Generated — layout wireframe
S042,A background image at low opacity,photo-slot,,no,16:9,1600x900,Supplied per project — not shippable
S042,template thumbnail,thumbnail,thumbnails/s042.svg,no,16:9,800x450,Generated — layout wireframe
S043,a concept image,photo-slot,,yes,16:9,1600x900,Supplied per project — not shippable
S043,template thumbnail,thumbnail,thumbnails/s043.svg,no,16:9,800x450,Generated — layout wireframe
S044,Biophilic board,concept-board,concept-boards/c01-biophilic.png,no,16:9,1600x900,Generated — concept C01
